(47) Welche Aussagen über Abhängigkeitstreue und Verlustlosigkeit sind wahr?;Verlustlosigkeit heißt: Bei der Zerlegung eines Schemas müssen die Schlüssel gleich bleiben.;Abhängigkeitstreue heißt: Bei der Zerlegung eines Schemas müssen alle FDs erhalten bleiben.;Verlustlosigkeit heißt: Beim Join der Teil-Schemata muss das originale Schema wiederherstellbar sein.;Eine Zerlegung eines Schemas in 3NF ist immer abhängigkeitstreu.;Keine der genannten Antworten.;234;;Schlüssel können sich ändern. Das sind genau die Definitionen von Abhängigkeitstreue und Verlustlosigkeit. .... Und Zerlegungen in 3NF sind immer abhängigkeitstreu, Zerlegungen in BCNF aber nicht.
(48) Welche Aussagen über Abhängigkeitstreue und Verlustlosigkeit sind wahr?;Man kann jedes Schema durch Zerlegung in 3NF bringen.;Eine Zerlegung eines Schemas in 3NF ist immer verlustlos.;Am Ende einer Zerlegung gibt es so viele Teil-Schemata, wie es vorher Schlüssel gibt.;Eine Zerlegung eines Schemas in BCNF ist immer verlustlos.;Keine der genannten Antworten.;124;;Jedes Schema sollte sich in 3NF zerlegen lassen. Solch eine Zerlegung ist immer verlustlos. .... Darüber, wie viele Teil-Schemata es am Ende gibt, lässt sich so nichts sagen. Es können mehr werden, weil für jeden Schlüssel, der nicht in einem der Teil-Schemata enthalten ist, eine neue erstellt werden muss, andererseits aber redundante Schemata, die bereist in anderen enthalten sind, gekürzt werden können. .... Eine Zerlegung in BCNF muss auch immer verlustlos sein, nur Abhängigkeitstreue ist nicht garantiert.
(49) Welche Aussagen zum Synthesealgorithmus sind wahr?;Zuerst berechnet man die Kanonische Überdeckung.;Für jeden Schlüssel wird ein neues Teil-Schema erstellt.;Für jede FD, die noch nicht in Teil-Schemata existiert, wird ein neues erstellt.;Eliminiere redundante Schemata.;Keine der genannten Antworten.;14;;Man fängt mit der KÜ an, dann wird für jede Funktionale Abhängigkeit ein neues Teil-Schema erstellt, das aus allen Attributen der FD besteht. .... Zusätzlich muss man sicherstellen, dass mindestens ein Schlüssel in einem der neuen Schemata enthalten ist, andernfalls können die Schemata nicht wieder korrekt zusammengejoint werden. Am Schluss werden redundante Schemata gestrichen.
(50) Ist die Zerlegung eines Schemas im Bild in dritte Normalform korrekt?;Ja, das ist korrekt.;Nein, diese Zerlegung wäre nicht abhängigkeitstreu.;Nein, diese Zerlegung wäre nicht verlustlos.;Nein, diese Zerlegung enthält noch zu viel redundante Schemata.;Keine der genannten Antworten.;3;50.png;Nein, das ist nicht korrekt, da fehlt der Schritt, dass ein weiteres Teil-Schema erzeugt werden muss, da keiner der Schlüssel in einem der Teile enthalten sind. Somit ist es nicht möglich, die Teil-Schemata wieder zu einem ganzen zusammenzujoinen, die Aufteilung ist also nicht verlustfrei.
(51) Ist die Zerlegung eines Schemas im Bild in dritte Normalform korrekt?;Ja, das ist korrekt.;Nein, diese Zerlegung wäre nicht abhängigkeitstreu.;Nein, diese Zerlegung wäre nicht verlustlos.;Nein, diese Zerlegung enthält noch zu viel redundante Schemata.;Keine der genannten Antworten.;1;51.png;Ja, hier stimmt alles.
(52) Welche Aussagen über Dekomposition eines Schemas in BCNF sind wahr?;Verlustlosigkeit ist in BCNF garantiert.;Abhängigkeitstreue ist in BCNF garantiert.;Jede FD, die die BCNF verletzt, muss aufgespalten werden.;Man bildet zwei neue Teilschemata aus den Attributen der aufgespaltenen FD.;Keine der genannten Antworten.;13;;Ja, in BCNF gilt Verlustlosigkeit, aber nicht Abhängigkeitstreue. Der Algorithmus geht so vor, dass immer eine Funktionale Abhängigkeit aufgespalten wird, so lange, bis es keine FD mehr gibt, die die BCNF verletzt.
(53) Ist die Zerlegung eines Schemas im Bild in BCNF korrekt?;Ja, das ist korrekt.;Nein, die Aufteilung der Attribute des ersten Schemas R1 stimmt nicht.;Nein, die Aufteilung des Attribute des zweiten Schemas R2 stimmt nicht.;Nein, die Schemata müssten noch zusammengefasst werden.;Keine der genannten Antworten.;1;53.png;Ja, hier stimmt alles, das Beispiel ist richtig.
(54) Ist die Zerlegung eines Schemas im Bild in BCNF korrekt?;Ja, das ist korrekt.;Nein, die Aufteilung der Attribute des ersten Schemas R1 stimmt nicht.;Nein, die Aufteilung des Attribute des zweiten Schemas R2 stimmt nicht.;Nein, die Schemata müssten noch zusammengefasst werden.;Keine der genannten Antworten.;3;54.png;Nein, die Aufteilung stimmt nicht. Wenn eine Funktionale Abhängigkeit in zwei aufgeteilt wird, bekommt eine davon alle Attribute der FD, und die zweite bekommt alle Attribute des Schemas außer denen, die nur auf der rechten Seite der FD vorkommen. Die zweite müsste also alle Attribute außer das B haben.
(55) Welche Antworten über Null-Werte in SQL sind richtig?;Unknown AND True ergibt True.;Unknown OR True ergibt True.;Unknown OR Unknown ergibt True.;Unknown AND Unknown ergibt True.;Keine der genannten Antworten.;2;;Jedes Oder mit einem True muss True ergeben, sonst bleibt immer der Unknown Wert erhalten.
(56) Welche der Aussagen ist wahr?;Duplikate in einem Ergebnis werden automatisch eliminiert.;Der RANGE Operator kann verwendet werden, um Werte in einem bestimmten Bereich zu erhalten.;Ein PRIMARY KEY kann auch aus mehrern Spalten bestehen.;Es kann in einer Tabelle mehrere FOREIGN KEYs geben.;Keine der genannten Antworten.;34;;Duplikate werden nicht automatisch eliminiert, das wäre zu teuer, das macht das System nur, wenn man das DISTINCT Keyword verwendet. .... Der Bereichs-Operator heißt nicht RANGE sondern BETWEEN. .... Ja, der PRIMARY KEY kann beliebig viele Spalten umfassen, dann muss er extra definiert werden, sonst kann man ihn auch einfach bei der Definition der Spalte dazuschreiben. .... Ja, es gibt auch mehrere FOREIGN KEYS, andernfalls könnte man ja nicht mehrere Tabellen verlinken.
