1 Which statement is wrong about the PRIMARY KEY constraint in SQL?;The PRIMARY KEY uniquely identifies each record in a SQL database table;PRIMARY KEY can be made based on multiple columns;PRIMARY KEY must be made of any single columns;PRIMARY KEYs must contain UNIQUE values.;Keine der genannten Antworten.;3;;
2 Which is/are correct statements about primary key of a table?;PRIMARY KEYs can contain NULL values;PRIMARY KEYs cannot contain NULL values.;A table can have only one PRIMARY KEY with single or multiple fields;A table can have multiple PRIMARY KEYs with single or multiple fields;Keine der genannten Antworten.;23;;
3 Which SQL Query deletes all rows in a table without deleting the table (structure, attributes, and indexes);DELETE FROM table_name;DELETE TABLE table_name;DROP TABLE table_name;;Keine der genannten Antworten.;1;;
4 Which statements about UPDATE keyword is/are wrong?;If WHERE clause in missing in statement the all records will be updated.;Only one record can be updated at a time using WHERE clause;Multiple records can be updated at a time using WHERE clause;;Keine der genannten Antworten.;2;;
5 Which statements about ORDER BY keyword is/are wrong?;The ORDER BY keyword is used to sort the result-set in ascending or descending order;The ORDER BY keyword sorts the records in ascending order by default.;To sort the records in ascending order, use the ASC keyword.;To sort the records in descending order, use the DECENDING keyword.;Keine der genannten Antworten.;4;;
6 Which is the correct syntax query syntax to drop a column from a table?;DELETE COLUMN column_name;DROP COLUMN column_name;ALTER TABLE table_name DROP COLUMN column_name;;Keine der genannten Antworten.;3;;
7 If you want to restrict age of a person > 18 in the column Age of table Person, then which constraint will be applied to the AGE column?;DEFAULT;CHECK;NOT NULL;;Keine der genannten Antworten.;2;;
8 In a table where a column contains duplicate values, if you want to list all different value only, which SQL keyword is used?;DISTINCT;UNIQUE;BETWEEN;EXISTS;Keine der genannten Antworten.;1;;
9 What can be used to give a temporary name to a table, or a column in a table for more readability?;Wildcards;Aliases;Likes;Comments;Keine der genannten Antworten.;2;;
10 The logical operators used in SQL are which of the following?;AND, OR, NOT ;&&, ||, ! ;$,|,! ;;Keine der genannten Antworten.;1;;
11 Which clause is used to combine rows from two or more tables based on a related column between them?;MATCH;JOIN;PATTERN;;Keine der genannten Antworten.;2;;
12 To combine the result-set of two or more SELECT statements, which SQL clause is used?;UNION;JOIN;GROUP BY;;Keine der genannten Antworten.;1;;
13 What is a virtual table in SQL called?;INNER JOIN;JOIN;VIEW;;Keine der genannten Antworten.;3;;
14 What does DML stand for?;Different Mode Level;Data Model Language;Data Mode Lane;Data Manipulation language;Keine der genannten Antworten.;4;;
15 The UPDATE SQL clause can ...;update only one row at a time;update more than one row at a time;delete more than one row at a time;delete only one row at a time;Keine der genannten Antworten.;2;;
16 The UNION clause can be used with ...;SELECT clause only;DELETE and UPDATE clauses;UPDATE clause only;;Keine der genannten Antworten.;1;;
17 What is the meaning of LIKE '%0%0%'?;Selects items beginning with two 0s;Selects items ending with two 0s;Selects items which have more than two 0s;Selects items having two 0s in it, at any position;Keine der genannten Antworten.;4;;
18 Which of the following is not an aggregate function?;Avg();Sum();With();Min();Keine der genannten Antworten.;3;;
19 A Boolean data type that can take values true, false, and ...;1;0;Null;Unknown;Keine der genannten Antworten.;4;;
20 Which of the following is not a class of constraint?;NOT NULL;CHECK;NULL;UNIQUE;Keine der genannten Antworten.;3;;
21 Which of the following constraints does not enforce uniqueness?;UNIQUE;PRIMARY KEY;FOREIGN KEY;;Keine der genannten Antworten.;3;;
22 Which of the constraint can be enforced one per table?;PRIMARY KEY constraint;NOT NULL constraint;FOREIGN KEY constraint;CHECK constraint;Keine der genannten Antworten.;1;;
23 The condition in a WHERE clause can refer to only one value.;True;False;;;Keine der genannten Antworten.;2;;
24 What does the abbreviation DBMS stand for?;Digital Base Mapping System.;Data Borrowing and Movement Software.;Database Management System.;Database Manipulation Software.;Keine der genannten Antworten.;3;;
25 Which of these SQL statements are correct?;SELECT Username AND Password FROM Users;SELECT Username, Password FROM Users;SELECT Username, Password WHERE Username = 'user1';;Keine der genannten Antworten.;2;;
26 Which of the following is not a constraint?;PRIMARY KEY;ALTERNATE KEY;FOREIGN KEY;UNIQUE;Keine der genannten Antworten.;2;;
27 A subquery in an SQL SELECT statement is enclosed in;parenthesis (...);brackets [...];CAPITAL LETTERS;braces {...};Keine der genannten Antworten.;1;;
28 The result of a SELECT statement is a ...;file;report;table;form;Keine der genannten Antworten.;3;;
29 Which operator is used to compare a value to a specified list of values?;BETWEEN;ANY;IN;ALL;Keine der genannten Antworten.;3;;
30 A SQL query automatically eliminates duplicates.;True;False;;;Keine der genannten Antworten.;2;;
