Welche Aussagen treffen auf den Radix Trie zu?;Routerknoten sind Knoten mit mind. 2 Nachfolgern;Jedes Wort wird in einem Datenknoten gespeichert;Hat der Routerknoten nur einen Nachfolger so ist es immer ein Routerknoten;Ein Radix Trie kann höchstens m Datensätze aufnehmen;keines;23;
Welche Aussagen treffen auf den Indexed Trie zu?;Es gibt Flags, welche die gültigen Wortenden markieren;Es gibt nun bis zu |A| Nachfolger;Die next Variable veweist auf den Nachfolgeknoten;Es gibt keine Datenknoten mehr;keines;1234;
Welche sind Varianten des Indexed Trie?;Suffix Compression;Linked Trie;Radix Trie;Packed Trie;keines;124;
Welche Aussagen treffen auf den Linked Trie zu?;Der zeitliche Aufwand wird durch das lineare Sondieren erhöht in Bezug auf den Indexed Trie;Ist keine Variante des Indexed Tries;Dient zur Reduzierung der leeren Einträge;Ist vom Speicheraufwand gleich wie der Indexed Trie;keines;13;
Welche Aussagen treffen auf die Suffix Compression zu?;Die betroffenen Worte können nicht mehr individuell verändert werden;Die Suffix Compression sollte bei einem Indexed Trie immer durchgeführt werden;Die Baumstruktur des Tries bleibt bestehen;Wenn alle end-Flags und alle next-Verweise ident sind, werden die Knoten zusammengefasst;keines;14;
Welche Aussagen treffen auf den Packed Trie zu?;Die globale Variable wurzel muss immer 1 sein;Knoten dürfen überlappend gespeichert werden;Der Packed Trie wird durch ein großes Feld T dargestellt;Dient im Allgemeinen zur Befreiung von Speicher;keines;234;
Was sind gültige Wörter im Packed Trie aus Bild 14?;ac;dcb;ddc;ddab;keines;5;14.png
Was sind gültige Wörter im Packed Trie aus Bild 14?;abd;ab;a;dac;keines;23;14.png
Was sind gültige Wörter im Packed Trie aus Bild 14?;abda;dab;da;dc;keines;134;14.png
Was sind gültige Wörter im Packed Trie aus Bild 14?;ddb;dcba;b;ddd;keines;4;14.png
Was sind gültige Wörter im Packed Trie aus Bild 14?;dcda;dda;aa;c;keines;12;14.png
Was sind gültige Wörter im Indexed Trie aus Bild 15?;AAA;AB;B;AEC;keines;13;15.png
Was sind gültige Wörter im Indexed Trie aus Bild 15?;ACD;DDA;DDE;ABD;keines;23;15.png
Was sind gültige Wörter im Indexed Trie aus Bild 15?;AAB;DA;A;AAC;keines;4;15.png
Was sind gültige Wörter im Indexed Trie aus Bild 15?;ABE;ABD;DC;DA;keines;1;15.png
Was sind gültige Wörter im Indexed Trie aus Bild 15?;AAD;AE;ABA;E;keines;23;15.png
Wurde in Bild 15 eine Suffix Compression durchgeführt?;Ja;Nein;Weder noch;;;1;15.png
00101 ist ein gültiger Schlüssel für den Datensatz ... (Bild 16) ;E;I;N;U;keines;1;16.png
10100 ist ein gültiger Schlüssel für den Datensatz ... (Bild 16);E;I;N;U;keines;4;16.png
10101 ist ein gültiger Schlüssel für den Datensatz ... (Bild 16);E;I;N;U;keines;4;16.png
01110 ist ein gültiger Schlüssel für den Datensatz ... (Bild 16);E;I;N;U;keines;3;16.png
11111 ist ein gültiger Schlüssel für den Datensatz ... (Bild 16);E;I;N;U;keines;5;16.png
Welche der folgenden Aussagen sind korrekt?;Für die Christophides-Heuristik wird ein perfektes Matching bestimmt;Für die Spanning-Tree-Heuristik wird ein perfektes Matching bestimmt;Für die Spanning-Tree-Heuristik wird ein minimal aufspannender Baum bestimmt;Für die Christophides-Heuristik wird ein minimal aufspannender Baum bestimmt;Keine;134;
Welche der folgenden Aussagen sind korrekt?;Heuristiken liefern zulässige Lösungen, die immer optimal sein müssen;Heuristiken liefern zulässige Lösungen, die nicht notwendigerweise optimal sind;Heuristiken mit Gütegarantien, werden auch approximative Algorithmen genannt;Bei NP schweren Problemen können größere Instanzen meistens nicht exakt gelöst werden;Keine;234;
Welche Aussagen treffen auf der Christophides-Heuristik zu?;Es kann mehrere perfekte Matchings geben;Das perfekte Matching sollte das kleinstmögliche Gewicht haben;Das perfekte Matching sollte das größtmögliche Gewicht haben;Das symmetrische TSP kann mittels der Christophides-Heuristik gelöst werden ;Keine;124;
Welche Aussagen über das perfekte Matching sind korrekt?;Ein perfektes Matching entspricht einer Kantenmenge, die jeden Knoten genau einmal enthält;Ein perfektes Matching entspricht einer Kantenmenge, die jeden Knoten genau zweimal enthält;Ein perfektes Matching mit minimalem Gewicht kann in O(n^3) gefunden werden;Ein perfektes Matching mit minimalem Gewicht kann in polynomieller Zeit gefunden werden;Keine;134;
Bild 17 stellt einen minimalen Spannbaum dar. Was muss für die Spanning-Tree-Heuristik noch getan werden?;Perfektes Matching finden;Kanten verdoppeln;Eulertour bestimmen;Ergebnistour bestimmen;Keine;234;17.png
Bild 17 stellt einen minimalen Spannbaum dar. Was muss für die Christophides-Heuristik noch getan werden?;Perfektes Matching finden;Kanten verdoppeln;Eulertour bestimmen;Ergebnistour bestimmen;Keine;134;17.png
In Bild 18 wird der minimale Spannbaum in schwarz dargestellt. Welche Kanten müssen für das perfekte Matching der Christophides-Heuristik dazugenommen werden?;AW;KF;KW;AF;Keine;34;18.png
In Bild 19 wird der minimale Spannbaum in schwarz dargestellt. Welche Aussagen über der Christophides-Heuristik sind korrekt?;Das perfekte Matching ist eindeutig;Das perfekte Matching ist nicht eindeutig;Das perfekte Matching besteht aus 2 Kanten;Das perfekte Matching besteht aus 2 Knoten;Keine;13;19.png
In Bild 19 wird der minimale Spannbaum in schwarz dargestellt. Welche Kombinationen wären für das perfekte Matching der Christophides-Heuristik korrekt?;KF und AF;KF und WF;BF und KF;KF und AW;Keine;5;19.png
In Bild 19 wird der minimale Spannbaum in schwarz dargestellt. Welche Kanten müssen für das perfekte Matching der Christophides-Heuristik dazugenommen werden?;KF;AW;WF;AK;Keine;34;19.png
