Für die baryzentrischen Koordinaten alpha, beta, gamma, wenn alpha = 0.2 ist, welche Kombinationen von beta und gamma sind gültig?;beta = 0.1, gamma = 0.9;beta = 0.3, gamma = 0.5;beta = 0.5, gamma = 0.5;beta = 0.4, gamma = 0.4;Keine der genannten Antworten.;24;
Für die baryzentrischen Koordinaten alpha, beta, gamma, wenn alpha = 0.5 ist, welche Kombinationen von beta und gamma sind gültig?;beta = 0.5, gamma = 0.1;beta = 0.3, gamma = 0.3;beta = 0.5, gamma = 0.2;beta = 0.4, gamma = 0.2;Keine der genannten Antworten.;5;
Für die baryzentrischen Koordinaten alpha, beta, gamma, wenn alpha = 0.8 ist, welche Kombinationen von beta und gamma sind gültig?;beta = 0.1, gamma = 0.1;beta = 0.1, gamma = 0.0;beta = 0.1, gamma = 0.2;beta = 0.0, gamma = 0.1;Keine der genannten Antworten.;1;
Welcher Effekt entsteht, wenn man von einem Bild das Laplacegefilterte Bild abzieht?;Bild wird schärfer;Bild wird unscharf;Bild wird heller;Bild wird invertiert;Keine der genannten Antworten.;1;
Welche Arten von Fotorezeptorzellen gibt es beim menschlichen Auge?;Stäbchen;Zäpfchen;Schuppen;Poren;Keine der genannten Antworten.;12;
Welche grundlegenden Arten von Pixelsensoren gibt es?; CCD; CMOS; FOV; DOF;Keine der genannten Antworten.;12;
[Bild 8] Um welche Art von Matrix handelt es sich hierbei?; Translationsmatrix; Rotationsmatrix; Skalierungsmatrix;Projektionsmatrix;Keine der genannten Antworten.;1;8n.png
[Bild 9] Um welche Art von Matrix handelt es sich hierbei?; Translationsmatrix; Rotationsmatrix; Skalierungsmatrix;Projektionsmatrix;Keine der genannten Antworten.;2;9n.png
[Bild 10] Um welche Art von Matrix handelt es sich hierbei?; Translationsmatrix; Rotationsmatrix; Skalierungsmatrix;Projektionsmatrix;Keine der genannten Antworten.;3;10n.png
[Bild 11] Um welche Art von Matrixtransformation kann es sich hierbei handeln?;Translation;Rotation;Skalierung;Projektion ;Keine der genannten Antworten.;23;11n.png
[Bild 12] Welcher ist der richtige Begriff für Position 1 in der Viewing-Pipeline?; Weltkoordinaten; View-Transformation; Clipping; Ray-Tracing;Keine der genannten Antworten.;1;12n.png
[Bild 12] Welcher ist der richtige Begriff für Position 2 in der Viewing-Pipeline?; Weltkoordinaten; View-Transformation; Clipping; Ray-Tracing;Keine der genannten Antworten.;2;12n.png
[Bild 12] Welcher ist der richtige Begriff für Position 3 in der Viewing-Pipeline?; Weltkoordinaten; Pixelkoordinaten; Projektion und Homogenisierung; View-Transformation;Keine der genannten Antworten.;3;12n.png
[Bild 12] Welcher ist der richtige Begriff für Position 4 in der Viewing-Pipeline?; Weltkoordinaten; Normalisierte Gerätekoordinaten; Pixelkoordinaten; Objektkoordinaten;Keine der genannten Antworten.;2;12n.png
[Bild 12] Welcher ist der richtige Begriff für Position 5 in der Viewing-Pipeline?; Viewport-Transformation; Schattierung; Pixelkoordinaten; RGB-Farbraum;Keine der genannten Antworten.;1;12n.png
[Bild 12] Welcher ist der richtige Begriff für Position 6 in der Viewing-Pipeline?; Ray-Tracing; Octree-Berechnung; Pixelkoordinaten; Modellkoordinaten;Keine der genannten Antworten.;3;12n.png
[Bild 18] Gegeben ist folgendes 7x7 Grauwertbild, wobei die weiszen Pixel den Grauwert 255 und die schwarzen den Grauwert 0 aufweisen. Wieviel Speicherplatz wird für die Speicherung aller Pixelwerte in unkomprimierter Form benoetigt?; 49 Byte; 98 Byte; 7 Byte; 56 Byte;Keine der genannten Antworten.;1;18n.png
[Bild 18] Gegeben ist folgendes 7x7 Grauwertbild, wobei die weiszen Pixel den Grauwert 255 und die schwarzen den Grauwert 0 aufweisen. Wieviel Speicherplatz wird bei einer Lauflängenkodierung aller Pixelwerte benoetigt, wenn für jedes Element der Lauflängenkodierung 8 Bit verwendet werden?; 8 Byte; 98 Byte; 392 Byte; 56 Byte;Keine der genannten Antworten.;2;18n.png
Die Farbkoordinaten des HLS-Farbmodells setzen sich zusammen aus Werten für:; Farbton;Sättigung; Helligkeit; Kontrast;Keine der genannten Antworten.;123;
Die Wellenlängen welcher Farben sind länger als jene von Blau?; Violett; Rot;Grün; Gelb;Keine der genannten Antworten.;234;
Die Wellenlängen welcher Farben sind länger als jene von Grün?; Blau; Violett; Rot;Orange;Keine der genannten Antworten.;34;
Die Wellenlängen welcher Farben sind länger als jene von Rot?; Blau; Violett; Gelb;Grün;Keine der genannten Antworten.;5;
Die Frequenzen welcher Farben sind hoeher als jene von Grün?; Violett; Blau; Rot;Orange;Keine der genannten Antworten.;12;
Die Frequenzen welcher Farben sind hoeher als jene von Rot?; Violett; Blau;Grün;Gelb;Keine der genannten Antworten.;1234;
Die Frequenzen welcher Farben sind hoeher als jene von Violett?;Blau;Gelb;Grün;Rot;Keine der genannten Antworten.;5;
JPEG ist ein Kompressionsverfahren für Vektor-Bildformate;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Bei JPEG wird nur die Grauwertinformation verlustbehaftet komprimiert, die Farbinformation bleibt komplett erhalten;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Lempel Ziv ist ein verlustfreies Kompressionsverfahren;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Bei JPEG sind die Werte in der Quantisierungsmatrix für niedrige Frequenzen kleiner als die für hohe Frequenzen;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Das RGB-Farbmodell kommt z.B. bei Monitoren zum Einsatz und weist Rot, Grün und Blau jeweils einer Koordinate zu, wobei [0,0,0] Weisz entspricht.;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Das CMY-Farbmodell bei Druckern basiert auf dem Prinzip der additiven Farbmischung der Grundfarben Cyan, Magenta, und Gelb.;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Der Raum der darstellbaren Farben eines Gerätes wird auch Spectrum genannt.;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Das menschliche Auge reagiert am empfindlichsten auf blaues Licht.;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Die lineare Faltungsoperation * ist assoziativ, d.h. A*(B*C)=(A*B)*C;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Lineare Filter sind immer Tiefpassfilter;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Je groeszer die Standardabweichung eines Gausz-Filters, desto kleiner ist das Element in der Mitte des Filters;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Wird ein Maximumfilter auf das Bild eines Gesichts angewendet, wird die Bildhelligkeit erhoeht ;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Zwei unterschiedliche Bilder koennen das selbe Histogramm haben;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Bei der Histogrammequalisierung geht es darum, die Anzahl der unterschiedlichen Grauwerte im Bild zu erhoehen;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Die Punktoperation I'(u,v) = I(u,v)-1 nennt man Invertierung;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Durch die Punktoperation I'(u,v) = 0,5*I(u,v) wird der Kontrast im Bild eines Gesichts verringert;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Der DDA-Algorithmus verwendet im Gegensatz zum Bresenham-Algorithmus nur Integer-Operationen beim Rasterisieren von Linien;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Sei A ein Eckpunkt eines Dreiecks, und alpha die zugehoerige baryzentrische Koordinate: Je näher ein Punkt P innerhalb eines Dreiecks dem Eckpunkt A kommt, desto groeszer wird alpha.;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
