Bei Bezier-Kurven haben die Stützpunkte globalen Einfluss auf die Kurve.;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Freiformflächen, deren Stützpunkte auf der Fläche liegen, nennt man approximierend.;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Bei B-Spline-Kurven haben die Stützpunkte globalen Einfluss auf die Kurve.;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Freiformflächen, deren Stützpunkte nicht alle auf der Fläche liegen, sondern die Fläche/Kurve nur durch ihre Lage beeinflussen, nennt man approximierend.;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Freiformflächen, deren Stützpunkte nicht alle auf der Fläche liegen, sondern die Fläche/Kurve nur durch ihre Lage beeinflussen, nennt man interpolierend.;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Bei B-Spline-Kurven haben die Stützpunkte lokalen Einfluss auf die Kurve.;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Bei Bezier-Kurven haben die Stützpunkte lokalen Einfluss auf die Kurve.;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Welches der vier Glanzpunkt-Resultate wurde mit den Parametern k_s = 1 und p = 99 berechnet?;R1;R2;R3;R4;Keine der genannten Antworten.;2;phong_glanz.png
Welches der vier Glanzpunkt-Resultate wurde mit den Parametern k_s = 0.3 und p = 99 berechnet?;R1;R2;R3;R4;Keine der genannten Antworten.;4;phong_glanz.png
Welches der vier Glanzpunkt-Resultate wurde mit den Parametern k_s = 1 und p = 10 berechnet?;R1;R2;R3;R4;Keine der genannten Antworten.;1;phong_glanz.png
Welches der vier Glanzpunkt-Resultate wurde mit den Parametern k_s = 0.3 und p = 10 berechnet?;R1;R2;R3;R4;Keine der genannten Antworten.;3;phong_glanz.png
Beim Ray-Tracing Algorithmus: Wenn ein Strahl eine spiegelnde Oberfläche trifft, dann ;stoppt  der Algorithmus.;wird ein Sekundärstrahl verfolgt.;Der Einfluss der Spiegelung wird zur Schattierung des jeweiligen Pixels addiert.;Die Spiegelung hat keinen Einfluss auf die Schattierung des jeweiligen Pixels.;Keine der genannten Antworten.;23;
Ein Nachteil des Ray-Tracing-Verfahrens ist, dass keine Schatten berechnet werden können.;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Die Materialeigenschaften von Objekten, die mit Ray-Tracing dargestellt werden sollen, müssen an den Schnittpunkten zwischen Strahlen und Objekten vorhanden sein.;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Perspektivische Projektionen bedeuten beim Ray-Tracing-Verfahren einen erheblichen Mehraufwand im Vergleich zu orthonormalen Parallelprojektionen.;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Erosion des Eingabebildes mit Strukturelement (a) ergibt welches Resultat?;R1;R2;R3;R4;Keine der genannten Antworten.;1;morpho_ops.png
Dilation des Eingabebildes mit Strukturelement (d) ergibt welches Resultat?;R1;R2;R3;R4;Keine der genannten Antworten.;2;morpho_ops.png
Opening des Eingabebildes mit Strukturelement (c) ergibt welches Resultat?;R1;R2;R3;R4;Keine der genannten Antworten.;3;morpho_ops.png
Closing des Eingabebildes mit Strukturelement (d) ergibt welches Resultat?;R1;R2;R3;R4;Keine der genannten Antworten.;4;morpho_ops.png
"Welcher der folgenden Methodenbegriffe kann dem Einsatzgebiet ""Bildsegmentierung"" zugeordnet werden?";Thinning ;Relaxation Labelling;Lempel-Ziv ;Laplace-Operator ;Keine der genannten Antworten.;2;
"Welcher der folgenden Methodenbegriffe kann dem Einsatzgebiet ""Eckendetektion"" zugeordnet werden?";Thinning ;Relaxation Labelling;Lempel-Ziv ;Laplace-Operator ;Keine der genannten Antworten.;5;
"Welcher der folgenden Methodenbegriffe kann dem Einsatzgebiet ""Bildschärfung"" zugeordnet werden?";Thinning ;Relaxation Labelling;Lempel-Ziv ;Laplace-Operator ;Keine der genannten Antworten.;4;
"Welcher der folgenden Methodenbegriffe kann dem Einsatzgebiet ""Morphologische Operationen"" zugeordnet werden?";Thinning ;Relaxation Labelling;Lempel-Ziv ;Laplace-Operator ;Keine der genannten Antworten.;1;
"Welcher der folgenden Methodenbegriffe kann dem Einsatzgebiet ""SIFT"" zugeordnet werden?";Moravec;Hough Transformation;Difference-of-Gaussians Skalenraum;Lempel-Ziv;Keine der genannten Antworten.;3;
"Welcher der folgenden Methodenbegriffe kann dem Einsatzgebiet ""Verlustfreie Bildkompression"" zugeordnet werden?";Moravec;Hough Transformation;Difference-of-Gaussians Skalenraum;Lempel-Ziv;Keine der genannten Antworten.;4;
"Welcher der folgenden Methodenbegriffe kann dem Einsatzgebiet ""Liniendetektion"" zugeordnet werden?";Moravec;Hough Transformation;Difference-of-Gaussians Skalenraum;Lempel-Ziv;Keine der genannten Antworten.;2;
