Von welchen Grammatiken kann jede kontextsensitive Sprache erzeugt werden?;Von einer monotonen Grammatik.;Von einer kontextsensitiven Grammatik.;;;Keine der genannten Antworten.;12;
Von welchen Grammatiken kann jede reguläre Sprache erzeugt werden?;Von einer kontextfreien Grammatik.;Von einer monotonen Grammatik.;Von einer kontextsensitiven Grammatik.;Von einer unbeschränkten Grammatik.;Keine der genannten Antworten.;1234;
Von welchen Grammatiken kann jede kontextfreie Sprache erzeugt werden?;Von einer regulären Grammatik.;Von einer kontextfreien Grammatik.;Von einer monotonen Grammatik.;Von einer unbeschränkten Grammatik.;Keine der genannten Antworten.;234;
Von welchen Grammatiken kann jede rekursiv aufzählbare Sprache erzeugt werden?;Von einer regulären Grammatik.;Von einer kontextfreien Grammatik.;Von einer kontextsensitiven Grammatik.;Von einer unbeschränkten Grammatik.;Keine der genannten Antworten.;4;
Betrachte die Definition in Bild 1. In welchen Grammatiken ist die Produktion S-> Saa erlaubt (S Element von N, a Element von T)?;In einer regulären Grammatik.;In einer kontextfreien Grammatik.;In einer monotonen Grammatik.;In einer kontextsensitiven Grammatik.;Keine der genannten Antworten.;234;01_til.png
Betrachte die Definition in Bild 1. In welchen Grammatiken ist die Produktion aA -> aAb erlaubt (A Element von N, a und b Element von T)?;In einer regulären Grammatik.;In einer kontextfreien Grammatik.;In einer kontextsensitiven Grammatik.;In einer unbeschränkten Grammatik.;Keine der genannten Antworten.;34;01_til.png
Betrachte die Definition in Bild 1. In welchen Grammatiken ist die Produktion bA -> Ab erlaubt (A Element von N, b Element von T)?;In einer regulären Grammatik.;In einer kontextfreien Grammatik.;In einer monotonen Grammatik.;In einer kontextsensitiven Grammatik.;Keine der genannten Antworten.;3;01_til.png
Betrachte die Definition in Bild 1. In welchen Grammatiken ist die Produktion B -> BSS erlaubt (B und S Element von N)?;In einer kontextfreien Grammatik.;In einer monotonen Grammatik.;In einer kontextsensitiven Grammatik.;In einer unbeschränkten Grammatik.;Keine der genannten Antworten.;1234;01_til.png
Betrachte Bild 2. Was gilt für die Grammatik G?;G ist regulär.;G ist kontextfrei.;G ist monoton.;G ist kontextsensitiv.;Keine der genannten Antworten.;3;02_til.png
Betrachte Bild 3. Was gilt für die Grammatik G?;G ist regulär.;G ist kontextfrei.;G ist monoton.;G ist kontextsensitiv.;Keine der genannten Antworten.;34;03_til.png
Betrachte Bild 4. Was gilt für die Grammatik G?;G ist regulär.;G ist kontextfrei.;G ist monoton.;G ist kontextsensitiv.;Keine der genannten Antworten.;234;04_til.png
Betrachte Bild 5. Was gilt für die Grammatik G?;G ist regulär.;G ist kontextfrei.;G ist monoton.;G ist kontextsensitiv.;Keine der genannten Antworten.;2;05_til.png
Betrachte Bild 6. Welche Sprache L(G) wird von G erzeugt?;a);b);c);d);Keine der genannten Antworten.;3;06_til.png
