(1) Welche der folgenden Aussagen über Transparenz (Transparency) sind richtig?;Transparenz wird, durch das Verstecken von unterschiedlichen Aspekten eines Systems vom Server erreicht.;Transparenz kann erreicht werden, indem interne Strukturen vom User versteckt werden.;Replikationstransparenz ist eine Vorbedingung für Ortstransparenz.;In Replikationstransparenz wird versteckt, dass eine Ressource gleichzeitig von anderen genutzt wird.;Keine der genannten Antworten.;2;;
(1) Was trifft auf Schichtenarchitekturen (Layered architectures) zu?;Client-Server Architektur ist eine Form der Schichtenarchitektur.;Bei der 3-Schichten Architektur übernimmt die Middleware die Logik und kommuniziert mit dem Client.;Eine Alternative zur Client-Server Architektur ist die horizontale Verteilung (horizontal distribution).;Schichtenarchitektur ist auch als objektbasierte Architektur bekannt.;Keine der genannten Antworten.;12;;
(1) Was bedeutet Offenheit (Openness)?;Offenheit heißt, Dienste mit Standardregeln anzubieten.;Offenheit ist in Zugangspunkten (Gateways) formalisiert.;Offenheit kann über Schnittstellen (Interfaces) erreicht werden.;Je höher die Offenheit, desto niedriger ist die Flexibilität eines Systems.;Keine der genannten Antworten.;13;;
(1) Welche der folgenden Aussagen über Abstraktion (Abstraction) sind richtig?;Abstraktion wird durch das Verstecken von älteren Aspekten eines Systems vom Server erreicht.;Abstraktion wird in Protokollen formalisiert.;Abstraktion heißt, die Realität so zu zerlegen, dass alle Details besser verstanden werden können.;Abstraktion kann durch das Verstecken von Informationen (Encapsulation) erreicht werden.;Keine der genannten Antworten.;5;;
(1) Welche der folgenden Aussagen über das Separieren von Anliegen (Separation of concerns) sind richtig? ;Es kann erreicht werden, indem sich in einem Verteiltes System bestimmte Teile nur um ihre Pflichten kümmern.;Client-Server-Architektur ist eine Form des Separierens der Anliegen.;Es kann mithilfe der Unterteilung in Schichten (Layers) erreicht werden.;Es kann mittels Semaphoren implementiert werden.;Keine der genannten Antworten.;123;;
(1) Was bedeutet Skalierbarkeit (Scalability)?;Ein verteiltes System heißt skalierbar, wenn es die Möglichkeit zu wachsen hat.;Skalierbarkeit enthält mehrere Dimensionen.;Skalierbarkeit kann unabhängig von der Effektivität eines Systems betrachtet werden.;Eine Herausforderung der Skalierung ist die Kostenkontrolle.;Keine der genannten Antworten.;124;;
(1) Welche der folgenden Aussagen über QoS (Quality of Service) sind richtig?;Es handelt sich um ein Konzept, mit dem Clients die benötigten Niveau's der Dienste angeben können.;Durch hohes QoS kann man alle Kompromisse vermeiden.;QoS eines Systems ist mit der Anzahl der Administratoren direkt verbunden.;QoS ist durch alle funktionalen und nicht-funktionalen Systemanforderungen definiert.;Keine der genannten Antworten.;1;;
(1) Was sind Annahmen von dezentralisierten Algorithmen?;Keine einzige Maschine hat alle Zustandsinformationen eines Systems.;Maschinen treffen ihre Entscheidungen basierend nur auf lokalen (umgebenden) Informationen.;Fehlerfall einer Maschine ruiniert den gesamten Algorithmus nicht. Es gibt keinen zentralen Punkt eines Ausfalls.;Es gibt keine impliziten Annahmen, dass eine globale Uhr existiert.;Keine der genannten Antworten.;1234;;
(1) Was sind Beispiele von nichtfunktionalen Anforderungen eines verteilten Systems?;Transparenz;Zuverlässigkeit;Verschlüsselung von Nachrichten;Eine 30-tägige Gratisprobe;Keine der genannten Antworten.;123;;
(1) Was sind Eigenschaften eines jeden verteilten Systems?;Es gibt keine Latenz (Wartezeit).;Die Topologie (Netzstruktur) ändert sich nicht.;Es gibt nur einen Administrator.;Das Netzwerk ist homogen.;Keine der genannten Antworten.;5;;
(2) Welche Aussagen zu Prozessen und Threads sind richtig?;Ein Prozess stellt Möglichkeiten zur Verfügung, Instruktionen auszuführen.;Ein Prozess ist eine Hardwareeinheit des Computers.;Ein Prozessor ist ein virtueller oder Software-Prozess.;Ein Thread ist ein maximaler Software-Prozessor.;Keine der genannten Antworten.;5;;1. Nein, das ist ein Prozessor. 2. Ebenfalls der Prozessor. 3. Nope, das ist ein Prozess. 4. Nein, minimal. Ein Thread ist die kleinste Einheit, in der Code ausgeführt werden kann. Also sind alle falsch.
