(22) Sind in der EU Tonmarken schutzfähig? (Stand: März 2016);Ja, auch wenn die Tonmarke nicht graphisch darstellbar ist.;Ja, aber nur wenn die Tonmarke graphisch darstellbar ist.;Das wird in jedem EU Mitgliedsstaat anders geregelt.;Tonmarken sind nicht registrierbar.;Keine der genannten Antworten.;2;;Bis März 2016 bestand eine weitere Bedingung: Die graphische Darstellbarkeit der Marke! Eigentlich ein willkürliches Eintragungserfordernis aus praktischen Gründen. Registrierbar waren bis dahin alle Wortmarken, Buchstabenmarken, Zahlenmarken, Tonmarken, wenn graphisch darstellbar (Sonograph, etc.), Bildmarken, kombinierte Marken, Farbmarken mit entsprechender Dokumentation. Aber keine Duftmarken, keine zeitlich abfolgenden Filmsequenzen, keine Hologramme, keine Lichtmarken und komplexen Bewegungsmarken sowie keine gustatorischen und haptischen Marken (Skriptum Seite 59-60).
(23) Sind in der EU Duftmarken schutzfähig? (Stand: März 2016);Ja, auch wenn die Duftmarke nicht graphisch darstellbar ist.;Ja, aber nur wenn die Duftmarke graphisch darstellbar ist.;Das wird in jedem EU Mitgliedsstaat anders geregelt.;Duftmarken sind nicht registrierbar.;Keine der genannten Antworten.;4;;Bis März 2016 bestand eine weitere Bedingung: Die graphische Darstellbarkeit der Marke! Eigentlich ein willkürliches Eintragungserfordernis aus praktischen Gründen. Registrierbar waren bis dahin alle Wortmarken, Buchstabenmarken, Zahlenmarken, Tonmarken, wenn graphisch darstellbar (Sonograph, etc.), Bildmarken, kombinierte Marken, Farbmarken mit entsprechender Dokumentation. Aber keine Duftmarken, keine zeitlich abfolgenden Filmsequenzen, keine Hologramme, keine Lichtmarken und komplexen Bewegungsmarken sowie keine gustatorischen und haptischen Marken (Skriptum Seite 59-60).
(24) Welche der folgenden Marken könnten als täuschend gesehen werden?;Coca-Cola;Pepsi Cola;Gorgonzona;Österzola;Keine der genannten Antworten.;14;;Österzola ist eine täuschende Marke, wegen der geschützten Herkunftsbezeichnung von Gorgonzola (ein norditalienischer Blauschimmelkäse). Coca-Cola kann auch als täuschend gesehen werden, da es kein Kokain (engl. Coca) enthält. Weil diesen Zusammenhang mit Kokain keiner mehr kennt, ist die Marke doch registrierbar. Cola steht für die Colanuss, deren Extrakt in Colagetränke tatsächlich enthalten ist (Skriptum Seite 57-58).
(25) Was sind Beispiele einer kennzeichnungskräftigen Marke?;4711;KHG;Kaufland;Palmers-Grün;Keine der genannten Antworten.;3;;Marken, die nur aus Zahlen bestehen (4711) oder unaussprechbar sind (KHG), sind im Allgemeinen wegen der daraus resultierenden schwachen Kennzeichnungskraft kaum registrierbar, reine Farbmarken ebenso. Kaufland wäre ein Beispiel einer kennzeichnungskräftigen Marke, da die klare und relativ eindeutige Idee gibt, was sie repräsentiert (Skriptum Seite 56-57).
"(26) Was sind Beispiele von nicht kennzeichnungskräftigen Marken, die durch Benutzung kennzeichnungskräftig werden?
";"Erste Österreichische Sparkasse

";711;IBM;Microsoft;Keine der genannten Antworten.;23;;Erste' ist kennzeichnungskräftig und hat sogar einen rein beschreibenden Charakter. 'Microsoft' heißt Software, die nur wenig Speicherplatz braucht. 'IBM' und '711' sind zwei Marken die nicht kennzeichnungskräftig sind (nur Nummer bzw. unaussprechbar), aber diese sind durch die intensive Verbreitung (besonder in den USA) kennzeichnungskräftig geworden (Skriptum Seite 56-58, Internet).
"(27) Können kennzeichnungskräftige Marken ihren Markencharakter verlieren?
";Ja, wenn die Marke in den allgemeinen Sprachgebrauch übergeht und sich der Markeninhaber nicht durch Klagen wehrt.;Nein, weil das bedeuten würde, dass die Marke nicht kennzeichnungskräftig war.;Apple' ist ein Beispiel für eine kennzeichnungskräftige Marke, die ihren Markencharakter verloren hat.;Google' ist ein Beispiel für eine kennzeichnungskräftige Marke, die ihren Markencharakter verloren hat.;Keine der genannten Antworten.;1;;Google klagte den Duden, weil er 'googlen' als 'im Internet suchen' führte, anstatt als 'mit Google suchen'.  Heute wird 'googeln' als 'mit Google im Internet suchen, recherchieren' im Duden angeführt. Da Google befürchten muss, sein Markenrecht zu verlieren, wenn der Name Google (ähnlich wie Tesafilm, Uhu-Kleber oder Walkman) als generischer Gattungsname gebraucht würde, nimmt das Unternehmen massiven Einfluss auf Wörterbuch- und Zeitungsredaktionen sowie Sprachwissenschaftlern, um zu erreichen, dass der explizite Bezug genau zur Google-Suchmaschine dem Anschein nach immer gewahrt sei. Bekannt geworden ist eine solche Einflussnahme im Falle der Duden-Redaktion (Andere Beispiele: Merriam-Webster's Collegiate Dictionary, Washington Post, Schwedisches Sprachenrates, siehe https://de.wiktionary.org/wiki/googeln und https://www.netzwelt.de/news/74551-tipps-tricks-fuers-professionelle-googlen.html). Das Verb 'appeln' existiert noch nicht.
"(28) Was passiert, wenn eine Marke nicht benutzt wird? 
";Eine einmal registrierte Marke, ist unendlich lange geschützt. Es ist keine Erneuerung notwendig.;Wenn die Marke nach der Registrierung nicht regelmäßig (alle 10 Jahre) erneut wird, so geht sie verloren.;Marken werden in fast allen Staaten der Welt nach 5-jähriger Nichtbenutzung, auf Antrag Dritter löschungsreif.;Eine regelmäßige (alle 10 Jahre) Erneuerung der Markenregistrieung, ist nur für nicht-kennzeichnungskräftige Marken notwendig.;Keine der genannten Antworten.;23;;Die Schutzrechte der Marken dauern de facto unendlich lange, wenn sie regelmäßig - zumeist alle 10 Jahre - erneuert werden. Diese Zeitspanne ist auch in den TRIPS (Trade Related aspects of Industrial Property rightS) vorgesehen. Marken werden in fast allen Staaten der Welt nach 5-jähriger Nichtbenutzung löschungsreif. Dies wird meist nur über Antrag eines Dritten vom Amt bzw. Gericht geprüft (Skriptum Seite 3, 63, 70).
(29) Welche der folgenden Aussagen über die Möglichkeiten des Markenerwerbs im Ausland sind korrekt?;Für die internationale Registrierung, sind die Heimatanmeldung und die Anmeldung bei der WIPO (World Intellectual Property Organisation) notwendig.;Für die internationale Registrierung ist es notwendig, dass die Marke neu ist.;Eine 'Land für Land' Registrierung ist teuer und aufwändig, aber in manchen Fällen notwendig.;EU-Marke (oder Unionsmarke) ist auch eine Form des Schutzes der Marke im Ausland.;Keine der genannten Antworten.;134;;Die Neuheit, sofern man sie selbst zerstört, spielt keine Rolle. Im Gegenteil, in manchen Ländern ist die bereits vor der Registrierung (kaum mehr vor der Anmeldung) aufgenommene Benutzung notwendig (Skriptum Seite 62-63).
"(30) Erhält man durch die internationale Registrierung einer Marke für mehrere Länder ein einheitliches Schutzrecht oder ein Schutzrechtsbündel? 
";Die internationale Registrierung gilt in jedem Staat so, als wäre sie eine dortige nationale Marke. Man erhält ein Schutzrechtsbündel.;Für die internationale Registrierung erhält man ein einheitliches Schutzrecht.;Für die EU-Marke erhält man ein einheitliches Schutzrecht.;Die EU-Marke gilt in jedem Staat so, als wäre sie eine dortige nationale Marke. Man erhält ein Schutzrechtsbündel.;Keine der genannten Antworten.;13;;Die internationale Registrierung gilt in jedem Staat so, als wäre sie eine dortige nationale Marke. Eine EU-Marke ist ein einheitliches Schutzrecht für das Gebiet der EU (Skriptum Seite 62-63).
(32) Welche der folgenden Aussagen treffen auf 'einheitliches Schutzrecht' bzw. 'Schutzrechtsbündel' auf dem Gebiet der Marken zu?;Für das einheitliche Schutzrecht, ist eine Marke entweder in allen, oder keinem Mitgliedsstaat geschützt.;Für das Schutzrechtsbündel gilt, dass eine ausreichende Benutzung innerhalb einer Teilmenge der Mitgliedstaaten, als ausreichende Benutzung in allen Mitgliedstaaten gilt.;Für das einheitliche Schutztrecht gilt, dass eine Anmeldung, die in einem einzigen EU Mitgliedsstaat fällt, auch für alle EU Mitgliedstaaten fällt.;Im einheitlichen Schutzrecht dürfen immer nur Mitgliedstaaten eine Markenregistrierung anmelden.;Keine der genannten Antworten.;13;;"EU-Marke: Ein einheitliches Schutzrecht für das Gebiet der EU, gibt es nur für alle oder keinen Mitgliedsstaat (ein Offener Verein, auch Angehörige von nicht-EU-Staaten können eine CTM anmelden). Vorteil gegenüber IR: Ausreichende Benutzung innerhalb eines (nicht unwesentlichen) Teiles der EU gilt als ausreichende Benutzung in der gesamten EU. Nachteil gegenüber IR: Wenn die Anmeldung (oder nach der Registrierung die Marke), beispielsweise wegen einer älteren Marke (oder Firma) in einem einzigen EU-Mitgliesstaat fällt, fällt sie für die gesamte EU, aber es besteht die Möglichkeit, in den konfliktfreien Staaten nationale Marken (nun auch IR) mit der Priorität der gefallenen CTM-Anmeldung einzureichen (sehr teuer). EU-Marke ist ein ein ""Offener Verein"" -- auch Angehörige von nicht-EU-Staaten können dieses einheitliche Schutzrecht anmelden (Skriptum Seite 62-63)."
(33) Wie entsteht der urheberrechtliche Schutz?;Der Schutz entsteht durch das Eintragen in ein Urheberrechtsregister.;Der Schutz entsteht mit dem Werk und bedarf keiner Anmeldung. Dieser wird nur im Streitfall definiert.;Der Schutz entsteht durch eine erworbene Copyright-Anmeldung.;Der Schutz entsteht, indem der Hinweis 'Urheberrechtlich geschützt!' angebracht wird.;Keine der genannten Antworten.;2;;"Der Schutz entsteht mit dem Werk und bedarf keiner Anmeldung, wird nur im Streitfall definiert. Die Urheberrechtsregister dienen ausschließlich zur erleichterten Beweisführung im Klagsfall. Es ist nicht falsch, einen ""Urheberrechtlich geschutzt!"" Hinweis anzubringen, schon um dem Gericht nahezulegen, den Verletzer wegen anderer Verstöße zu verurteilen -- aber es ist auch nicht notwendig (Skriptum Seite 66-67)."
